t,ax,ay,az,gx,gy,gz
1.936964988708496,-11292,15212,5074,32767,-11014,32693
1.948899745941162,-11168,12849,1440,32767,-23399,32767
1.9608333110809326,-4663,13797,-1669,32767,-32545,30883
1.9727680683135986,4842,8272,-1695,32767,-32768,18870
1.9847221374511719,7659,9596,145,32767,-30311,14020
1.996628999710083,7656,17539,1081,32767,-22029,15405
2.0085625648498535,-3990,32767,-3240,32767,-4931,18805
2.0205562114715576,-14325,31910,-1833,31356,-9660,18666
2.0324952602386475,-15954,17799,230,21615,-25881,13963
2.0444395542144775,-4311,12556,-1334,22155,-32768,21549
2.0563440322875977,2359,18992,-3123,25052,-32768,32767
2.06828236579895,2130,15990,-2578,18079,-32768,30829
2.0803120136260986,128,14847,-4570,16832,-32768,28906
2.092250108718872,3204,13097,-4801,15899,-32764,24731
2.1041858196258545,4198,14776,-35,16774,-32768,26774
2.116088628768921,2940,22909,-3737,15775,-32768,32041
2.1280276775360107,1637,15891,-4789,7393,-32768,28956
2.1399662494659424,-77,21174,-4674,-1996,-32768,32767
2.151914358139038,876,18747,-7435,-9125,-32768,29799
2.1638665199279785,4706,15234,-11358,-13290,-32768,19581
2.1757631301879883,15119,14271,-9335,-14759,-32768,16752
2.1877012252807617,23566,13785,-6917,-16483,-32768,24498
2.1996665000915527,11358,18547,-5411,-13448,-7325,13819
2.2116098403930664,5605,17311,-4525,-16129,-3249,6648
2.2235424518585205,4091,14476,-2771,-17586,-5669,5089
2.2354846000671387,3561,13187,-2083,-16529,-8613,7109
2.2474241256713867,5882,13282,-891,-13653,-12466,7043
2.259366989135742,9144,17981,-375,-11863,-9806,10645
2.271296977996826,8918,16767,-1175,-14552,-6996,7837
2.283201217651367,7334,15246,-2037,-16447,-4194,6681
2.295130729675293,6673,15775,-2478,-17100,-4067,6833
2.3070647716522217,7145,14854,-2915,-17351,-5780,4165
2.318983316421509,7671,14132,-3772,-17178,-6859,4470
2.3309245109558105,10331,14497,-2641,-15236,-6781,5414
2.3428282737731934,9508,14889,-2918,-15319,-4108,6245
2.354764938354492,7863,14537,-2153,-15749,-2712,7600
2.36667799949646,8891,15505,-2205,-14991,-4495,9917
2.3786070346832275,13170,14245,-1928,-13906,-6519,8883
2.390618324279785,22111,24580,3885,-13891,3093,19255
2.402585029602051,22859,23012,-226,-22081,18234,9116
2.414524555206299,10178,14340,-3962,-27008,30599,-2158
2.4264578819274902,6680,15759,-607,-25893,27665,2950
